person,appearances
anupam kher,43
shah rukh khan,35
julie tejwani,33
takahiro sakurai,32
naseeruddin shah,32
rupa bhimani,31
om puri,30
akshay kumar,30
yuki kaji,29
paresh rawal,28
amitabh bachchan,28
boman irani,27
vincent tong,26
rajesh kava,26
kareena kapoor,25
andrea libman,25
samuel l. jackson,24
john cleese,24
tara strong,23
jigna bhardwaj,23
fred tatasciore,23
daisuke ono,22
nicolas cage,21
nawazuddin siddiqui,21
kay kay menon,21
junichi suwabe,21
ashleigh ball,21
ajay devgn,21
salman khan,20
david attenborough,20
adam sandler,20
yuichi nakamura,19
seth rogen,19
morgan freeman,19
mamoru miyano,19
james franco,19
gulshan grover,19
fred armisen,19
erin fitzgerald,19
david spade,19
ai kayano,19
yashpal sharma,18
vatsal dubey,18
rajesh sharma,18
laura bailey,18
kana hanazawa,18
fortune feimster,18
diana kaarina,18
debi derryberry,18
anil kapoor,18
saif ali khan,17
rajpal yadav,17
priyanka chopra,17
molly shannon,17
michela luci,17
kate higgins,17
jackie shroff,17
danny trejo,17
bruce willis,17
brian drummond,17
asrani,17
alessandro juliani,17
yoshimasa hosoya,16
vijay raaz,16
tomokazu sugita,16
tinnu anand,16
sanjay mishra,16
sam vincent,16
robb wells,16
miyuki sawashiro,16
mike epps,16
michael palin,16
maya rudolph,16
manoj joshi,16
manoj bajpayee,16
laurence fishburne,16
kristen stewart,16
kari wahlgren,16
jun fukuyama,16
hiroshi kamiya,16
hassan hosny,16
blossom chukwujekwu,16
amrish puri,16
alfred molina,16
aamir khan,16
willem dafoe,15
toyin abraham,15
takehito koyasu,15
sonal kaushal,15
sean astin,15
sanjay dutt,15
richard mofe-damijo,15
radhika apte,15
pankaj tripathi,15
michael peña,15
keith david,15
kathleen barr,15
john paul tremblay,15
grey griffin,15
erin mathews,15
eric idle,15
chris rock,15
ben kingsley,15
antonio banderas,15
adil hussain,15
yoshitsugu matsuoka,14
yoko hikasa,14
woody harrelson,14
tony hale,14
terry jones,14
tabitha st. germain,14
swapnil,14
sharat saxena,14
shakti kapoor,14
shaffy bello,14
samuel west,14
sachin khedekar,14
sabina malik,14
rosario dawson,14
ranvir shorey,14
ramsey nouah,14
rajkummar rao,14
pierce brosnan,14
pavan malhotra,14
natsuki hanae,14
mousam,14
liam neeson,14
kulbhushan kharbanda,14
kevin michael richardson,14
kenjiro tsuda,14
kazuhiko inoue,14
katrina kaif,14
johnny depp,14
john travolta,14
john abraham,14
irrfan khan,14
ian james corlett,14
helen mirren,14
guy pearce,14
demet akbağ,14
dee bradley baker,14
bimbo manuel,14
will ferrell,13
vipin sharma,13
tina mba,13
tiffany haddish,13
terry gilliam,13
stanley tucci,13
shahid kapoor,13
seema biswas,13
saori hayami,13
ryan reynolds,13
ron perlman,13
rob riggle,13
rishi kapoor,13
ricky gervais,13
ray liotta,13
rajit kapoor,13
omoni oboli,13
nassar,13
nana patekar,13
mohnish bahl,13
mithun chakraborty,13
mahesh manjrekar,13
maaya sakamoto,13
liev schreiber,13
laura linney,13
kevin hart,13
julie lemieux,13
john c. reilly,13
joan cusack,13
jim broadbent,13
jamie watson,13
james marsden,13
jackie chan,13
