country,total_titles
united states,3690
india,1046
unknown,831
united kingdom,806
canada,445
france,393
japan,318
spain,232
south korea,231
germany,226
mexico,169
china,162
australia,160
egypt,117
turkey,113
hong kong,105
nigeria,103
italy,100
brazil,97
argentina,91
belgium,90
indonesia,90
taiwan,89
philippines,83
thailand,70
south africa,62
colombia,52
netherlands,50
denmark,48
ireland,46
sweden,42
poland,41
singapore,41
united arab emirates,37
new zealand,33
lebanon,31
israel,30
norway,30
chile,29
russia,27
malaysia,26
pakistan,24
czech republic,22
switzerland,19
romania,14
uruguay,14
saudi arabia,13
austria,12
luxembourg,12
finland,11
greece,11
hungary,11
iceland,11
bulgaria,10
peru,10
qatar,10
jordan,9
kuwait,8
serbia,7
vietnam,7
cambodia,6
kenya,6
morocco,6
portugal,6
ghana,5
west germany,5
bangladesh,4
croatia,4
iran,4
venezuela,4
algeria,3
malta,3
senegal,3
slovenia,3
soviet union,3
syria,3
ukraine,3
zimbabwe,3
cayman islands,2
georgia,2
guatemala,2
iraq,2
mauritius,2
namibia,2
nepal,2
afghanistan,1
albania,1
angola,1
armenia,1
azerbaijan,1
bahamas,1
belarus,1
bermuda,1
botswana,1
burkina faso,1
cameroon,1
cuba,1
cyprus,1
dominican republic,1
east germany,1
ecuador,1
ethiopia,1
jamaica,1
kazakhstan,1
latvia,1
liechtenstein,1
lithuania,1
malawi,1
mongolia,1
montenegro,1
mozambique,1
nicaragua,1
palestine,1
panama,1
paraguay,1
puerto rico,1
samoa,1
slovakia,1
somalia,1
sri lanka,1
sudan,1
uganda,1
vatican city,1
