year_month,total_titles
2008-01,1
2008-02,1
2009-05,1
2009-11,1
2010-11,1
2011-05,1
2011-09,1
2011-10,11
2012-02,1
2012-11,1
2012-12,1
2013-03,1
2013-08,1
2013-09,2
2013-10,2
2013-11,2
2013-12,2
2014-01,2
2014-02,2
2014-04,2
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,4
2014-11,4
2014-12,5
2015-01,1
2015-02,3
2015-03,4
2015-04,5
2015-05,5
2015-06,5
2015-07,7
2015-08,2
2015-09,6
2015-10,14
2015-11,3
2015-12,18
2016-01,41
2016-02,15
2016-03,16
2016-04,21
2016-05,11
2016-06,18
2016-07,28
2016-08,34
2016-09,46
2016-10,51
2016-11,42
2016-12,95
2017-01,72
2017-02,81
2017-03,123
2017-04,91
2017-05,85
2017-06,92
2017-07,75
2017-08,110
2017-09,113
2017-10,125
2017-11,82
2017-12,115
2018-01,123
2018-02,86
2018-03,170
2018-04,114
2018-05,95
2018-06,77
2018-07,150
2018-08,163
2018-09,123
2018-10,190
2018-11,154
2018-12,180
2019-01,151
2019-02,145
2019-03,171
2019-04,161
2019-05,139
2019-06,168
2019-07,155
2019-08,131
2019-09,122
2019-10,191
2019-11,253
2019-12,212
2020-01,204
2020-02,114
2020-03,137
2020-04,177
2020-05,157
2020-06,156
2020-07,146
2020-08,129
2020-09,168
2020-10,167
2020-11,154
2020-12,169
2021-01,132
2021-02,109
2021-03,112
2021-04,188
2021-05,132
2021-06,207
2021-07,257
2021-08,178
2021-09,183
